Alg,Config,AIQ1k,HCI1k,SD1k,AIQ3k,HCI3k,SD3k,AIQ10k,HCI10k,SD10k,AIQ30k,HCI30k,SD30k,AIQ100k,HCI100k,SD100k
 Sarsa,0.0_0.0_0.1_0.005_0.6,44.33,1.1,24.6,45.82,1.1,24.8,47.0,1.1,25.0,50.69,1.07,24.15,57.6,1.01,23.34
 Sarsa,0.0_0.0_0.1_0.005_0.79,43.37,1.1,24.7,44.9,1.1,25.12,46.0,1.1,25.47,48.58,1.09,24.89,55.74,1.03,23.9
 Sarsa,0.0_0.0_0.1_0.005_0.99,39.57,1.03,23.93,41.13,1.03,23.8,42.74,1.04,24.0,44.15,1.08,24.37,46.78,1.08,24.49
 Sarsa,0.0_0.0_0.1_0.052_0.6,43.03,1.0,22.77,47.87,1.0,22.38,53.49,0.97,21.84,57.4,0.9,20.98,59.19,0.9,20.52
 Sarsa,0.0_0.0_0.1_0.052_0.79,42.17,1.0,23.0,46.25,0.98,22.27,52.77,0.93,21.53,57.43,0.9,20.92,59.64,0.9,20.7
 Sarsa,0.0_0.0_0.1_0.052_0.99,40.53,1.0,22.9,41.98,1.0,23.2,43.53,1.0,23.09,48.74,0.97,21.92,54.48,0.93,21.32
 Sarsa,0.0_0.0_0.1_0.1_0.6,42.93,0.93,20.97,47.88,0.9,20.45,51.98,0.9,19.63,54.22,0.83,19.34,55.15,0.83,19.34
 Sarsa,0.0_0.0_0.1_0.1_0.79,42.33,0.9,21.33,47.03,0.9,20.5,51.48,0.86,19.57,54.04,0.81,19.2,55.18,0.8,19.16
 Sarsa,0.0_0.0_0.1_0.1_0.99,40.07,0.93,21.73,41.68,0.95,21.83,44.57,0.91,21.4,49.35,0.9,20.43,52.43,0.9,20.03
 Sarsa,0.0_0.0_0.33_0.005_0.6,45.13,1.07,24.5,47.98,1.07,24.55,52.86,1.03,23.73,57.96,1.0,22.65,61.08,0.94,21.66
 Sarsa,0.0_0.0_0.33_0.005_0.79,44.87,1.1,24.5,47.1,1.1,24.5,51.75,1.07,24.18,57.91,1.0,23.23,61.67,1.0,22.51
 Sarsa,0.0_0.0_0.33_0.005_0.99,41.07,1.1,24.5,43.12,1.1,24.45,45.91,1.1,24.36,51.93,1.09,24.33,58.57,1.1,24.15
 Sarsa,0.0_0.0_0.33_0.052_0.6,48.33,0.9,20.27,51.9,0.83,19.62,54.11,0.83,19.42,55.09,0.86,19.49,55.45,0.87,19.53
 Sarsa,0.0_0.0_0.33_0.052_0.79,47.9,0.97,21.33,51.92,0.9,20.65,54.49,0.9,20.2,55.76,0.9,20.01,56.27,0.9,19.92
 Sarsa,0.0_0.0_0.33_0.052_0.99,42.77,0.9,21.2,46.67,0.93,21.27,50.63,0.9,20.99,52.93,0.9,20.31,55.0,0.88,19.65
 Sarsa,0.0_0.0_0.33_0.1_0.6,45.03,0.8,18.87,47.43,0.8,18.67,48.72,0.8,18.75,49.31,0.8,18.86,49.48,0.8,18.89
 Sarsa,0.0_0.0_0.33_0.1_0.79,44.97,0.83,19.07,47.78,0.8,18.48,49.3,0.8,18.5,50.02,0.8,18.63,50.31,0.8,18.66
 Sarsa,0.0_0.0_0.33_0.1_0.99,41.57,0.83,19.23,44.5,0.87,19.43,46.25,0.87,19.4,47.73,0.8,18.95,49.24,0.8,18.7
 Sarsa,0.0_0.0_0.55_0.005_0.6,46.87,1.07,24.03,50.3,1.02,23.6,54.4,1.0,22.42,57.59,0.91,21.29,59.15,0.9,20.96
 Sarsa,0.0_0.0_0.55_0.005_0.79,46.13,1.07,24.1,49.8,1.02,23.72,54.63,1.0,23.14,58.43,1.0,22.43,60.5,0.97,21.76
 Sarsa,0.0_0.0_0.55_0.005_0.99,43.57,1.03,23.67,45.7,1.02,23.38,49.68,1.0,23.12,55.66,1.02,23.62,59.95,1.03,23.48
 Sarsa,0.0_0.0_0.55_0.052_0.6,47.5,0.83,19.23,49.7,0.8,19.22,50.85,0.83,19.3,51.32,0.87,19.44,51.44,0.86,19.46
 Sarsa,0.0_0.0_0.55_0.052_0.79,47.13,0.87,19.77,49.65,0.87,19.53,51.02,0.87,19.44,51.67,0.87,19.48,51.93,0.87,19.53
 Sarsa,0.0_0.0_0.55_0.052_0.99,39.57,0.83,19.0,42.22,0.87,19.37,45.42,0.9,20.03,48.19,0.9,19.93,50.62,0.9,19.57
 Sarsa,0.0_0.0_0.55_0.1_0.6,43.43,0.8,18.33,44.72,0.8,18.48,45.35,0.8,18.57,45.67,0.8,18.63,45.77,0.8,18.61
 Sarsa,0.0_0.0_0.55_0.1_0.79,42.93,0.8,18.07,44.37,0.8,18.12,45.1,0.8,18.2,45.46,0.8,18.33,45.56,0.8,18.36
 Sarsa,0.0_0.0_0.55_0.1_0.99,36.9,0.77,17.37,38.58,0.8,17.67,40.57,0.8,17.95,42.66,0.8,17.98,44.39,0.8,18.2
 Sarsa_l,0.0_0.4_0.1_0.005_0.6,46.3,1.1,24.8,47.05,1.1,25.05,47.83,1.1,25.11,51.72,1.05,23.97,58.41,1.0,23.13
