Alg,q,lambda,alpha,epsilon,gamma
Sarsa_l,0.0,0.0,0.33,0.052,0.60
Sarsa_l,0.0,0.0,0.33,0.005,0.79
Sarsa_l,0.0,0.0,0.10,0.100,0.60
Sarsa_l,0.0,0.0,0.33,0.100,0.79
Sarsa_l,0.0,0.0,0.55,0.005,0.99
Sarsa_l,0.0,0.0,0.10,0.005,0.99
Sarsa_l,0.0,0.0,0.33,0.100,0.99
Sarsa_l,0.0,0.0,0.55,0.100,0.60
Sarsa_l,0.0,0.0,0.55,0.052,0.99
Sarsa_l,0.0,0.0,0.10,0.052,0.60
Sarsa_l,0.0,0.0,0.55,0.005,0.79
Sarsa_l,0.0,0.0,0.10,0.052,0.99
Sarsa_l,0.0,0.0,0.33,0.100,0.60
Sarsa_l,0.0,0.0,0.33,0.052,0.99
Sarsa_l,0.0,0.0,0.55,0.100,0.79
Sarsa_l,0.0,0.0,0.10,0.100,0.79
Sarsa_l,0.0,0.0,0.33,0.005,0.60
Sarsa_l,0.0,0.0,0.55,0.052,0.79
Sarsa_l,0.0,0.0,0.10,0.100,0.99
Sarsa_l,0.0,0.0,0.33,0.005,0.99
Sarsa_l,0.0,0.0,0.10,0.052,0.79
Sarsa_l,0.0,0.0,0.55,0.005,0.60
Sarsa_l,0.0,0.0,0.55,0.100,0.99
Sarsa_l,0.0,0.0,0.55,0.052,0.60
Sarsa_l,0.0,0.0,0.10,0.005,0.79
Sarsa_l,0.0,0.0,0.33,0.052,0.79
Sarsa_l,0.0,0.0,0.10,0.005,0.60
Sarsa_l,0.0,0.65,0.33,0.052,0.60
Sarsa_l,0.0,0.40,0.10,0.005,0.99
Sarsa_l,0.0,0.65,0.10,0.100,0.60
Sarsa_l,0.0,0.40,0.55,0.005,0.79
Sarsa_l,0.0,0.90,0.10,0.052,0.79
Sarsa_l,0.0,0.65,0.55,0.005,0.79
Sarsa_l,0.0,0.40,0.33,0.052,0.60
Sarsa_l,0.0,0.65,0.10,0.005,0.99
Sarsa_l,0.0,0.90,0.10,0.052,0.60
Sarsa_l,0.0,0.65,0.55,0.052,0.60
Sarsa_l,0.0,0.40,0.10,0.005,0.79
Sarsa_l,0.0,0.65,0.10,0.005,0.79
Sarsa_l,0.0,0.90,0.55,0.052,0.60
Sarsa_l,0.0,0.90,0.55,0.005,0.79
Sarsa_l,0.0,0.40,0.55,0.005,0.99
Sarsa_l,0.0,0.65,0.55,0.100,0.79
Sarsa_l,0.0,0.40,0.33,0.100,0.79
Sarsa_l,0.0,0.90,0.10,0.100,0.60
Sarsa_l,0.0,0.65,0.33,0.052,0.99
Sarsa_l,0.0,0.90,0.33,0.005,0.99
Sarsa_l,0.0,0.90,0.10,0.005,0.79
Sarsa_l,0.0,0.40,0.55,0.100,0.60
Sarsa_l,0.0,0.40,0.10,0.100,0.60
Sarsa_l,0.0,0.40,0.55,0.052,0.99
Sarsa_l,0.0,0.40,0.55,0.052,0.79
Sarsa_l,0.0,0.90,0.33,0.005,0.79
Sarsa_l,0.0,0.65,0.33,0.100,0.79
Sarsa_l,0.0,0.65,0.55,0.052,0.79
Sarsa_l,0.0,0.90,0.33,0.100,0.99
Sarsa_l,0.0,0.65,0.33,0.005,0.79
Sarsa_l,0.0,0.90,0.33,0.100,0.79
Sarsa_l,0.0,0.40,0.33,0.052,0.99
Sarsa_l,0.0,0.65,0.55,0.100,0.60
Sarsa_l,0.0,0.90,0.33,0.100,0.60
Sarsa_l,0.0,0.65,0.10,0.052,0.99
Sarsa_l,0.0,0.90,0.55,0.052,0.99
Sarsa_l,0.0,0.90,0.33,0.005,0.60
Sarsa_l,0.0,0.40,0.10,0.052,0.99
Sarsa_l,0.0,0.90,0.33,0.052,0.99
Sarsa_l,0.0,0.65,0.33,0.005,0.60
Sarsa_l,0.0,0.40,0.33,0.100,0.60
Sarsa_l,0.0,0.65,0.55,0.052,0.99
Sarsa_l,0.0,0.65,0.55,0.005,0.60
Sarsa_l,0.0,0.65,0.10,0.052,0.79
Sarsa_l,0.0,0.90,0.33,0.052,0.79
Sarsa_l,0.0,0.40,0.33,0.005,0.79
Sarsa_l,0.0,0.40,0.10,0.005,0.60
Sarsa_l,0.0,0.90,0.10,0.100,0.99
Sarsa_l,0.0,0.40,0.55,0.005,0.60
Sarsa_l,0.0,0.40,0.10,0.052,0.60
Sarsa_l,0.0,0.65,0.33,0.005,0.99
Sarsa_l,0.0,0.40,0.33,0.052,0.79
Sarsa_l,0.0,0.65,0.33,0.100,0.99
Sarsa_l,0.0,0.90,0.55,0.100,0.99
Sarsa_l,0.0,0.40,0.33,0.100,0.99
Sarsa_l,0.0,0.40,0.10,0.052,0.79
Sarsa_l,0.0,0.90,0.55,0.100,0.79
Sarsa_l,0.0,0.65,0.10,0.005,0.60
Sarsa_l,0.0,0.65,0.33,0.100,0.60
Sarsa_l,0.0,0.40,0.10,0.100,0.99
Sarsa_l,0.0,0.40,0.55,0.100,0.79
Sarsa_l,0.0,0.90,0.55,0.005,0.99
Sarsa_l,0.0,0.65,0.55,0.005,0.99
Sarsa_l,0.0,0.65,0.55,0.100,0.99
Sarsa_l,0.0,0.40,0.10,0.100,0.79
Sarsa_l,0.0,0.40,0.55,0.100,0.99
Sarsa_l,0.0,0.90,0.55,0.052,0.79
Sarsa_l,0.0,0.65,0.10,0.052,0.60
Sarsa_l,0.0,0.65,0.10,0.100,0.99
Sarsa_l,0.0,0.90,0.55,0.100,0.60
Sarsa_l,0.0,0.40,0.33,0.005,0.60
Sarsa_l,0.0,0.90,0.33,0.052,0.60
Sarsa_l,0.0,0.90,0.10,0.005,0.60
Sarsa_l,0.0,0.90,0.10,0.052,0.99
Sarsa_l,0.0,0.40,0.33,0.005,0.99
Sarsa_l,0.0,0.65,0.10,0.100,0.79
Sarsa_l,0.0,0.90,0.10,0.005,0.99
Sarsa_l,0.0,0.65,0.33,0.052,0.79
Sarsa_l,0.0,0.90,0.55,0.005,0.60
Sarsa_l,0.0,0.90,0.10,0.100,0.79
Sarsa_l,0.0,0.40,0.55,0.052,0.60
