AIQ,HCI,SD,refm,refmN,Nn,EL,Alg,q,lambda,alpha,epsilon,gamma
 60.1,  1.0, 23.0, BF,5, 1.0, 100000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 47.9,  1.1, 25.1, BF,5, 1.0, 10000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 44.9,  1.1, 24.8, BF,5, 1.0, 1000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 48.2,  1.1, 25.1, BF,5, 1.0, 11000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 48.4,  1.1, 25.0, BF,5, 1.0, 12000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 48.7,  1.1, 24.9, BF,5, 1.0, 13000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 48.9,  1.1, 24.9, BF,5, 1.0, 14000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 49.2,  1.1, 24.8, BF,5, 1.0, 15000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 49.5,  1.1, 24.7, BF,5, 1.0, 16000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 49.8,  1.1, 24.6, BF,5, 1.0, 17000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 50.1,  1.1, 24.5, BF,5, 1.0, 18000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 50.5,  1.1, 24.4, BF,5, 1.0, 19000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 50.8,  1.1, 24.3, BF,5, 1.0, 20000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 46.0,  1.1, 25.0, BF,5, 1.0, 2000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 51.1,  1.1, 24.2, BF,5, 1.0, 21000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 51.4,  1.1, 24.2, BF,5, 1.0, 22000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 51.7,  1.1, 24.1, BF,5, 1.0, 23000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 52.0,  1.1, 24.1, BF,5, 1.0, 24000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 52.3,  1.1, 24.0, BF,5, 1.0, 25000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 52.5,  1.1, 24.0, BF,5, 1.0, 26000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 52.8,  1.0, 23.9, BF,5, 1.0, 27000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 53.1,  1.0, 23.9, BF,5, 1.0, 28000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 53.3,  1.0, 23.9, BF,5, 1.0, 29000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 53.6,  1.0, 23.8, BF,5, 1.0, 30000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 46.5,  1.1, 25.1, BF,5, 1.0, 3000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 53.8,  1.0, 23.8, BF,5, 1.0, 31000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 54.0,  1.0, 23.8, BF,5, 1.0, 32000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 54.2,  1.0, 23.7, BF,5, 1.0, 33000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 54.4,  1.0, 23.7, BF,5, 1.0, 34000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
 54.6,  1.0, 23.7, BF,5, 1.0, 35000, Sarsa_l,0.0,0.0,0.1,0.005,0.6
